adjudication_id,priority_tier,priority_score,source_candidate_id,source_cohort,historical_record_id,historical_form,historical_component,historical_page,modern_record_id,modern_headword,modern_translation,relation_type,component_candidate_count,semantic_evidence_available,human_reviewed,decision
RHD-ADJ-000029,2,58,RHD-CORR-000002,exact,RHD-S1809-01649,Ali oder ari,ari,353,RD-000091,Arí,Tarde,exact_normalized_graphic_match,1,true,false,not_assessed
RHD-ADJ-000030,2,58,RHD-CORR-000003,exact,RHD-S1809-01655,Ari,Ari,354,RD-000091,Arí,Tarde,exact_normalized_graphic_match,1,true,false,not_assessed
RHD-ADJ-000031,2,58,RHD-CORR-000047,exact,RHD-S1809-02350,Té,Té,366,RD-002462,Te,"Tejer, extender (hilos para tejer)",exact_normalized_graphic_match,1,true,false,not_assessed
RHD-ADJ-000032,2,58,RHD-CORR-000050,exact,RHD-S1809-02491,Upi,Upi,368,RD-002539,Upí,Esposa,exact_normalized_graphic_match,1,true,false,not_assessed
RHD-ADJ-000033,2,49,RHD-PCORR-000207,probable,RHD-S1809-02295,Sopeichi,Sopeichi,365,RD-002386,"Sopichí, supuchí",Murciélago,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000034,2,48,RHD-PCORR-000170,probable,RHD-S1809-02232,Rauguí,Rauguí,364,RD-001968,Rasuguí,Fibra de maguey,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000035,2,48,RHD-PCORR-000247,probable,RHD-S1809-02416,Tschapi,Tschapi,367,RD-002493,Tochapi,Pajarito (con pico fino; andan en muchos juntos; vienen en el tiempo de frío),probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000036,2,47,RHD-CORR-000009,exact,RHD-S1809-01723,Có oder gö,Có,355,RD-000472,co,Ser (Cuando uno dice: Echirigá ju. Así es. El otro contesta: Echirigá co. Así es.),exact_normalized_graphic_match,2,true,false,not_assessed
RHD-ADJ-000037,2,47,RHD-CORR-000010,exact,RHD-S1809-01723,Có oder gö,Có,355,RD-000473,co,Picar (chile) Echi co'huáami huabé cóori. Ésa comida estaba muy picante. [pret: cóori; fut.: córama],exact_normalized_graphic_match,2,true,false,not_assessed
RHD-ADJ-000038,2,47,RHD-CORR-000018,exact,RHD-S1809-01987,Lá,Lá,360,RD-001189,La,Sangre,exact_normalized_graphic_match,2,true,false,not_assessed
RHD-ADJ-000039,2,47,RHD-CORR-000019,exact,RHD-S1809-01987,Lá,Lá,360,RD-001190,La,Hacer enramada,exact_normalized_graphic_match,2,true,false,not_assessed
RHD-ADJ-000040,2,47,RHD-CORR-000027,exact,RHD-S1809-02101,Né,Né,362,RD-001573,‘Né,Ver,exact_normalized_graphic_match,2,true,false,not_assessed
RHD-ADJ-000041,2,47,RHD-CORR-000028,exact,RHD-S1809-02101,Né,Né,362,RD-001574,‘Ne,"Mirar, observar",exact_normalized_graphic_match,2,true,false,not_assessed
RHD-ADJ-000042,2,47,RHD-CORR-000029,exact,RHD-S1809-02147,Pá,Pá,363,RD-001791,Pa,Traer,exact_normalized_graphic_match,2,true,false,not_assessed
RHD-ADJ-000043,2,47,RHD-CORR-000030,exact,RHD-S1809-02147,Pá,Pá,363,RD-001792,Pa,Tirar,exact_normalized_graphic_match,2,true,false,not_assessed
RHD-ADJ-000044,2,47,RHD-CORR-000033,exact,RHD-S1809-02202,Pú,Pú,364,RD-001854,Pu,Ponerse una faja,exact_normalized_graphic_match,2,true,false,not_assessed
RHD-ADJ-000045,2,47,RHD-CORR-000034,exact,RHD-S1809-02202,Pú,Pú,364,RD-001855,Pu’,Faisán,exact_normalized_graphic_match,2,true,false,not_assessed
RHD-ADJ-000046,2,47,RHD-CORR-000048,exact,RHD-S1809-02401,Tó,Tó,367,RD-002489,To,"Llevar, tomar",exact_normalized_graphic_match,2,true,false,not_assessed
RHD-ADJ-000047,2,47,RHD-CORR-000049,exact,RHD-S1809-02401,Tó,Tó,367,RD-002490,To,Enterrar,exact_normalized_graphic_match,2,true,false,not_assessed
RHD-ADJ-000048,2,43,RHD-CORR-000006,exact,RHD-S1809-01702,Ca,Ca,355,RD-000357,ca,Llevar (en la mano),exact_normalized_graphic_match,3,true,false,not_assessed
RHD-ADJ-000049,2,43,RHD-CORR-000007,exact,RHD-S1809-01702,Ca,Ca,355,RD-000358,ca,Traer,exact_normalized_graphic_match,3,true,false,not_assessed
RHD-ADJ-000050,2,43,RHD-CORR-000008,exact,RHD-S1809-01702,Ca,Ca,355,RD-000359,ca,Hacer sombra,exact_normalized_graphic_match,3,true,false,not_assessed
RHD-ADJ-000051,2,43,RHD-CORR-000012,exact,RHD-S1809-01763,Cú,Cú,356,RD-000555,Cu,Otra vez,exact_normalized_graphic_match,3,true,false,not_assessed
RHD-ADJ-000052,2,43,RHD-CORR-000013,exact,RHD-S1809-01763,Cú,Cú,356,RD-000556,Cu,"Leña, madera",exact_normalized_graphic_match,3,true,false,not_assessed
RHD-ADJ-000053,2,43,RHD-CORR-000014,exact,RHD-S1809-01763,Cú,Cú,356,RD-000557,Cu,"1. Comer (esquite, granos enteros, fruta dura). Saquí cubo, vamos a comer esquite. 2. Morder. Ta tohuí biré corí cumiri. El niño mordió un chile.",exact_normalized_graphic_match,3,true,false,not_assessed
RHD-ADJ-000054,3,47,RHD-PCORR-000026,probable,RHD-S1809-01668,Baiſſá,Baiſſá,354,RD-000155,Baisá,Tercero,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000055,3,47,RHD-PCORR-000030,probable,RHD-S1809-01680,Batáni,Batáni,354,RD-000210,Batari,Tesgüino,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000056,3,47,RHD-PCORR-000056,probable,RHD-S1809-01748,Cavára,Cavára,356,RD-000450,Casará,"Zacate, hierba del campo, pasto",probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000057,3,47,RHD-PCORR-000065,probable,RHD-S1809-01798,Galabé,Galabé,356,RD-000851,Garabé,"Muy bien, muy bueno, fino, perfecto",probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000058,3,47,RHD-PCORR-000122,probable,RHD-S1809-02066,Najási,Najási,362,RD-001529,Narasi,Naranja,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000059,3,47,RHD-PCORR-000186,probable,RHD-S1809-02259,Sapáca,Sapáca,365,RD-002240,Sapará,Engordarse,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000060,3,47,RHD-PCORR-000187,probable,RHD-S1809-02260,Sapála,Sapála,365,RD-002240,Sapará,Engordarse,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000061,3,47,RHD-PCORR-000198,probable,RHD-S1809-02286,Simigó,Simigó,365,RD-002303,Simigá,¡Vaya!,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000062,3,47,RHD-PCORR-000221,probable,RHD-S1809-02330,Tamulé,Tamulé,366,RD-002445,Tamujé,Nosotros,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000063,3,47,RHD-PCORR-000248,probable,RHD-S1809-02475,Takiná,Takiná,368,RD-002459,Tasina,Por el arroyo abajito,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000064,3,46,RHD-PCORR-000001,probable,RHD-S1809-00027,Abiti oder Apiti,Abiti,353,RD-000004,Abijí,"Todavía, aún",probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000065,3,46,RHD-PCORR-000016,probable,RHD-S1809-00058,Peguá,Peguá,363,RD-001827,Pehua,Fumar,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000066,3,46,RHD-PCORR-000027,probable,RHD-S1809-01675,Balſi,Balſi,354,RD-000198,Basi,"Taza, vaso",probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000067,3,46,RHD-PCORR-000057,probable,RHD-S1809-01750,Cugué,Cugué,356,RD-000569,Cuhué,El tiempo de calor (antes de las lluvias),probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000068,3,46,RHD-PCORR-000067,probable,RHD-S1809-01871,"Halí, oder harí",harí,358,RD-000907,Huari,"Huari (reg.), cesta, canasta",probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000069,3,46,RHD-PCORR-000075,probable,RHD-S1809-01929,Imari,Imari,359,RD-001092,Imuri,"Canasta (con tapadera), petaca",probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000070,3,46,RHD-PCORR-000084,probable,RHD-S1809-01995,Loguí,Loguí,360,RD-001213,Lohuí,"Tener rabia, estar loco (que anda corriendo)",probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000071,3,46,RHD-PCORR-000136,probable,RHD-S1809-02108,Néóca,Néóca,362,RD-001647,Nocá,Moverse,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000072,3,46,RHD-PCORR-000159,probable,RHD-S1809-02219,Raché,Raché,364,RD-001904,Rachí,Aplastarse,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000073,3,46,RHD-PCORR-000171,probable,RHD-S1809-02233,Rhaná,Rhaná,364,RD-001932,Raná,1. vt Parir 2. s Hijo,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000074,3,46,RHD-PCORR-000210,probable,RHD-S1809-02309,Tápoa,Tápoa,366,RD-002452,Tapa,"Acarrear, traer (en las manos)",probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000075,3,46,RHD-PCORR-000211,probable,RHD-S1809-02315,Taicá,Taicá,366,RD-002443,Taca,Tocar (instrumento musical),probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000076,3,46,RHD-PCORR-000243,probable,RHD-S1809-02403,Togui,Togui,367,RD-002494,Tohuí,"Muchacho, niño",probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000077,3,46,RHD-PCORR-000244,probable,RHD-S1809-02408,Tſani,Tſani,367,RD-002451,Tani,Rogar,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000078,3,46,RHD-PCORR-000245,probable,RHD-S1809-02410,Tſani- oder tſainijolájameke,Tſani-,367,RD-002451,Tani,Rogar,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000079,3,46,RHD-PCORR-000246,probable,RHD-S1809-02411,Tſani- oder tſainijoliki,Tſani-,367,RD-002451,Tani,Rogar,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000080,3,44,RHD-PCORR-000007,probable,RHD-S1809-00042,Jejé,Jejé,358,RD-001141,Jeré,Así es,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000081,3,44,RHD-PCORR-000008,probable,RHD-S1809-00043,Iguá,Iguá,359,RD-001069,Ihuá,Tener agujero,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000082,3,44,RHD-PCORR-000009,probable,RHD-S1809-00046,Jolá,Jolá,359,RD-001169,Jora,Escarbar (un hoyo),probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000083,3,44,RHD-PCORR-000012,probable,RHD-S1809-00049,Páli,Páli,363,RD-001809,Paní,Arriba (en la falda),probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000084,3,44,RHD-PCORR-000036,probable,RHD-S1809-01691,Bucú,Bucú,355,RD-000346,Burú,Estar el camino (hacia e l lugar mencionado),probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000085,3,44,RHD-PCORR-000055,probable,RHD-S1809-01741,Colé,Colé,355,RD-000552,Coyé,Ponerse el paño de lienzo en la cabeza,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000086,3,44,RHD-PCORR-000064,probable,RHD-S1809-01797,Galá,Galá,356,RD-000849,Gará,1. bueno (sabroso) 2. bien (sano),probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000087,3,44,RHD-PCORR-000066,probable,RHD-S1809-01802,Gané,Gané,357,RD-000859,Garé,"Amar, querer (véase 2caré)",probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000088,3,44,RHD-PCORR-000070,probable,RHD-S1809-01902,Húli,Húli,358,RD-000991,Huíi,"Lanzar, amarrar (un animal)",probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000089,3,44,RHD-PCORR-000071,probable,RHD-S1809-01903,Huli,Huli,358,RD-000991,Huíi,"Lanzar, amarrar (un animal)",probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000090,3,44,RHD-PCORR-000074,probable,RHD-S1809-01922,Igue,Igue,359,RD-001101,Iqué,Ventilar,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000091,3,44,RHD-PCORR-000083,probable,RHD-S1809-01989,Lála,Lála,360,RD-001191,Labá,"Hueja redonda (reg.), jícara",probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000092,3,44,RHD-PCORR-000096,probable,RHD-S1809-02015,Molé,Molé,361,RD-001364,Moré,Sahumar,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000093,3,44,RHD-PCORR-000146,probable,RHD-S1809-02129,Nulá,Nulá,363,RD-001688,Nurá,"Mandar, ordenar",probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000094,3,44,RHD-PCORR-000169,probable,RHD-S1809-02229,"Ráje, oder táje",táje,364,RD-002441,Tabé,Más chiquito,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000095,3,44,RHD-PCORR-000190,probable,RHD-S1809-02276,Senú,Senú,365,RD-002418,Sunú,Maíz,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000096,3,44,RHD-PCORR-000191,probable,RHD-S1809-02278,Sevá,Sevá,365,RD-002263,Seba,"1. Alcanzar, llegar 2. Lograr 3. Llegar a ser",probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000097,3,44,RHD-PCORR-000212,probable,RHD-S1809-02316,Táje,Táje,366,RD-002441,Tabé,Más chiquito,probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000098,3,44,RHD-PCORR-000237,probable,RHD-S1809-02366,Tocó,Tocó,367,RD-002480,"Tigó, ticó","Cercar, hacer (con piedra)",probable_graphic_correspondence,1,true,false,not_assessed
RHD-ADJ-000099,3,41,RHD-PCORR-000005,probable,RHD-S1809-00034,"Aitá, oder caitá",caitá,353,RD-000364,Cabita,Rodarse (una cosa larga),probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000100,3,41,RHD-PCORR-000046,probable,RHD-S1809-01704,Cajena,Cajena,355,RD-000388,Cajera,"Cáscara delgada, vaina",probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000101,3,41,RHD-PCORR-000047,probable,RHD-S1809-01704,Cajena,Cajena,355,RD-000470,Cayena,"1. terminar, levantar 2. cosechar",probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000102,3,41,RHD-PCORR-000048,probable,RHD-S1809-01706,Caitá,Caitá,355,RD-000364,Cabita,Rodarse (una cosa larga),probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000103,3,41,RHD-PCORR-000091,probable,RHD-S1809-02004,Matáca,Matáca,361,RD-001269,Maracá,Paleta,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000104,3,41,RHD-PCORR-000092,probable,RHD-S1809-02004,Matáca,Matáca,361,RD-001284,Matagá,Palma (de la mano),probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000105,3,40,RHD-PCORR-000006,probable,RHD-S1809-00034,"Aitá, oder caitá",caitá,353,RD-000464,Catá,s arco,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000106,3,40,RHD-PCORR-000010,probable,RHD-S1809-00047,Pahí,Pahí,363,RD-001799,Pachí,"1. s Elote, mazorca 2. vi Hay elotes",probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000107,3,40,RHD-PCORR-000028,probable,RHD-S1809-01679,Baſſu,Baſſu,354,RD-000206,Basú,"Cocer, hervir",probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000108,3,40,RHD-PCORR-000029,probable,RHD-S1809-01679,Baſſu,Baſſu,354,RD-000207,Basú,Derretir,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000109,3,40,RHD-PCORR-000031,probable,RHD-S1809-01681,Batſá,Batſá,354,RD-000155,Baisá,Tercero,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000110,3,40,RHD-PCORR-000032,probable,RHD-S1809-01681,Batſá,Batſá,354,RD-000195,Basá,Apedrear,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000111,3,40,RHD-PCORR-000033,probable,RHD-S1809-01683,Báſſa,Báſſa,354,RD-000155,Baisá,Tercero,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000112,3,40,RHD-PCORR-000034,probable,RHD-S1809-01683,Báſſa,Báſſa,354,RD-000195,Basá,Apedrear,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000113,3,40,RHD-PCORR-000049,probable,RHD-S1809-01706,Caitá,Caitá,355,RD-000464,Catá,s arco,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000114,3,40,RHD-PCORR-000068,probable,RHD-S1809-01881,Hiáſi,Hiáſi,358,RD-000923,Huasí,Cola,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000115,3,40,RHD-PCORR-000069,probable,RHD-S1809-01881,Hiáſi,Hiáſi,358,RD-000924,Huasí,Suegra,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000116,3,40,RHD-PCORR-000155,probable,RHD-S1809-02203,Pugué,Pugué,364,RD-001806,Pagué,Remojar,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000117,3,40,RHD-PCORR-000175,probable,RHD-S1809-02249,Roguí,Roguí,365,RD-002133,Rohuí,Conejo,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000118,3,40,RHD-PCORR-000176,probable,RHD-S1809-02249,Roguí,Roguí,365,RD-002146,Rojuí,Bellota,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000119,3,40,RHD-PCORR-000188,probable,RHD-S1809-02273,Seguí,Seguí,365,RD-002372,Soguí,Casi,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000120,3,40,RHD-PCORR-000189,probable,RHD-S1809-02273,Seguí,Seguí,365,RD-002403,Suguí,Tesgüino,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000121,3,38,RHD-PCORR-000011,probable,RHD-S1809-00047,Pahí,Pahí,363,RD-001809,Paní,Arriba (en la falda),probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000122,3,38,RHD-PCORR-000035,probable,RHD-S1809-01688,Boní,Boní,355,RD-000263,Biní,Hermana menor (de mujer),probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000123,3,38,RHD-PCORR-000053,probable,RHD-S1809-01737,Coló,Coló,355,RD-000536,Coró,"Zopilote pinto, rayado",probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000124,3,38,RHD-PCORR-000054,probable,RHD-S1809-01737,Coló,Coló,355,RD-000547,Cosó,Ahogarse (al tragar).,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000125,3,38,RHD-PCORR-000076,probable,RHD-S1809-01937,Jukí,Jukí,359,RD-001181,Jubí,Esposas,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000126,3,38,RHD-PCORR-000077,probable,RHD-S1809-01937,Jukí,Jukí,359,RD-001188,Juri,"Sí, seguro",probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000127,3,38,RHD-PCORR-000081,probable,RHD-S1809-01988,Láca,Láca,360,RD-001191,Labá,"Hueja redonda (reg.), jícara",probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000128,3,38,RHD-PCORR-000082,probable,RHD-S1809-01988,Láca,Láca,360,RD-001205,Loca,"Batir, mezclar (pinole en agua)",probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000129,3,38,RHD-PCORR-000103,probable,RHD-S1809-02027,Mukí,Mukí,361,RD-001405,Muní,Frijol,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000130,3,38,RHD-PCORR-000104,probable,RHD-S1809-02027,Mukí,Mukí,361,RD-001420,Musí,"Tipo de pez negro, bargón",probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000131,3,38,RHD-PCORR-000105,probable,RHD-S1809-02029,Muki,Muki,361,RD-001405,Muní,Frijol,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000132,3,38,RHD-PCORR-000106,probable,RHD-S1809-02029,Muki,Muki,361,RD-001420,Musí,"Tipo de pez negro, bargón",probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000133,3,38,RHD-PCORR-000130,probable,RHD-S1809-02092,Nateguí,Nateguí,362,RD-001563,"Natiguí, nateguí","Valer, costar",probable_graphic_correspondence,3,true,false,not_assessed
RHD-ADJ-000134,3,38,RHD-PCORR-000140,probable,RHD-S1809-02120,Nokí,Nokí,362,RD-001677,Norí,Nube,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000135,3,38,RHD-PCORR-000141,probable,RHD-S1809-02120,Nokí,Nokí,362,RD-001678,Norí,Vuelta,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000136,3,38,RHD-PCORR-000142,probable,RHD-S1809-02121,Nolá,Nolá,362,RD-001647,Nocá,Moverse,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000137,3,38,RHD-PCORR-000143,probable,RHD-S1809-02121,Nolá,Nolá,362,RD-001670,‘Nora,Traer,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000138,3,38,RHD-PCORR-000144,probable,RHD-S1809-02122,Nolé,Nolé,362,RD-001672,Noré,Rodear,probable_graphic_correspondence,2,true,false,not_assessed
RHD-ADJ-000139,3,38,RHD-PCORR-000145,probable,RHD-S1809-02122,Nolé,Nolé,362,RD-001673,Noré,Estar nublado,probable_graphic_correspondence,2,true,false,not_assessed
