semantic_context_id,adjudication_id,source_candidate_id,priority_tier,signal_type,historical_record_id,historical_form,historical_component,historical_german_gloss,historical_page,modern_record_id,modern_headword,modern_translation,modern_classification,internal_attestation_count,internal_reciprocal_support_count,human_reviewed,semantic_decision
RHD-SEMC-000057,RHD-ADJ-000059,RHD-PCORR-000186,3,internal_reciprocal_documentary_support,RHD-S1809-02259,Sapáca,Sapáca,Fleisch,365,RD-002240,Sapará,Engordarse,Vi,3,2,false,not_assessed
RHD-SEMC-000058,RHD-ADJ-000100,RHD-PCORR-000046,3,internal_reciprocal_documentary_support,RHD-S1809-01704,Cajena,Cajena,"Vollenden, verfertigen, ausmachen",355,RD-000388,Cajera,"Cáscara delgada, vaina",S,3,2,false,not_assessed
RHD-SEMC-000059,RHD-ADJ-000101,RHD-PCORR-000047,3,internal_reciprocal_documentary_support,RHD-S1809-01704,Cajena,Cajena,"Vollenden, verfertigen, ausmachen",355,RD-000470,Cayena,"1. terminar, levantar 2. cosechar",Vt,3,2,false,not_assessed
RHD-SEMC-000060,RHD-ADJ-000111,RHD-PCORR-000033,3,internal_reciprocal_documentary_support,RHD-S1809-01683,Báſſa,Báſſa,"Acker, Feld",354,RD-000155,Baisá,Tercero,Adv,3,2,false,not_assessed
RHD-SEMC-000061,RHD-ADJ-000112,RHD-PCORR-000034,3,internal_reciprocal_documentary_support,RHD-S1809-01683,Báſſa,Báſſa,"Acker, Feld",354,RD-000195,Basá,Apedrear,Vt,3,2,false,not_assessed
RHD-SEMC-000062,RHD-ADJ-000067,RHD-PCORR-000057,3,internal_reciprocal_documentary_support,RHD-S1809-01750,Cugué,Cugué,"Spät, Nacht",356,RD-000569,Cuhué,El tiempo de calor (antes de las lluvias),S,2,2,false,not_assessed
RHD-SEMC-000063,RHD-ADJ-000185,RHD-PCORR-000017,3,internal_reciprocal_documentary_support,RHD-S1809-01653,Balá,Balá,"Beladen, beſchweren, aufladen",354,RD-000127,Bacá,Carrizo,S,2,2,false,not_assessed
RHD-SEMC-000064,RHD-ADJ-000186,RHD-PCORR-000018,3,internal_reciprocal_documentary_support,RHD-S1809-01653,Balá,Balá,"Beladen, beſchweren, aufladen",354,RD-000174,Baná,Mejilla,S,2,2,false,not_assessed
RHD-SEMC-000065,RHD-ADJ-000187,RHD-PCORR-000019,3,internal_reciprocal_documentary_support,RHD-S1809-01653,Balá,Balá,"Beladen, beſchweren, aufladen",354,RD-000184,Bapá,Apedrear,Vt,2,2,false,not_assessed
RHD-SEMC-000066,RHD-ADJ-000265,RHD-PCORR-000195,3,internal_reciprocal_documentary_support,RHD-S1809-02284,Simi,Simi,Gehen,365,RD-002296,Simá,Irse,Vi pl,18,1,false,not_assessed
RHD-SEMC-000067,RHD-ADJ-000266,RHD-PCORR-000196,3,internal_reciprocal_documentary_support,RHD-S1809-02284,Simi,Simi,Gehen,365,RD-002299,Simé,Tocar (instrumento musical),Vt,18,1,false,not_assessed
RHD-SEMC-000068,RHD-ADJ-000267,RHD-PCORR-000197,3,internal_reciprocal_documentary_support,RHD-S1809-02284,Simi,Simi,Gehen,365,RD-002323,Sipí,"Enfriarse (p. ej.: comida, agua)",Vi,18,1,false,not_assessed
RHD-SEMC-000069,RHD-ADJ-000082,RHD-PCORR-000009,3,internal_reciprocal_documentary_support,RHD-S1809-00046,Jolá,Jolá,Machen,359,RD-001169,Jora,Escarbar (un hoyo),Vt,9,1,false,not_assessed
RHD-SEMC-000070,RHD-ADJ-000205,RHD-PCORR-000072,3,internal_reciprocal_documentary_support,RHD-S1809-01914,Iché,Iché,Dieſer,358,RD-001058,Ichá,Sembrar,Vt,7,1,false,not_assessed
RHD-SEMC-000071,RHD-ADJ-000206,RHD-PCORR-000073,3,internal_reciprocal_documentary_support,RHD-S1809-01914,Iché,Iché,Dieſer,358,RD-001062,Ichí,Matas de maíz,S,7,1,false,not_assessed
RHD-SEMC-000072,RHD-ADJ-000116,RHD-PCORR-000155,3,internal_reciprocal_documentary_support,RHD-S1809-02203,Pugué,Pugué,Warten,364,RD-001806,Pagué,Remojar,Vt,6,1,false,not_assessed
RHD-SEMC-000073,RHD-ADJ-000165,RHD-PCORR-000119,3,internal_reciprocal_documentary_support,RHD-S1809-02061,Naguá,Naguá,Kommen,362,RD-001461,‘Nagá,Mirando,,5,1,false,not_assessed
RHD-SEMC-000074,RHD-ADJ-000166,RHD-PCORR-000120,3,internal_reciprocal_documentary_support,RHD-S1809-02061,Naguá,Naguá,Kommen,362,RD-001462,Nahuá,Llegar,Vi sing,5,1,false,not_assessed
RHD-SEMC-000075,RHD-ADJ-000167,RHD-PCORR-000121,3,internal_reciprocal_documentary_support,RHD-S1809-02061,Naguá,Naguá,Kommen,362,RD-001463,Nahuá,Raíz,S,5,1,false,not_assessed
RHD-SEMC-000076,RHD-ADJ-000168,RHD-PCORR-000123,3,internal_reciprocal_documentary_support,RHD-S1809-02079,Napá,Napá,Beysammen,362,RD-001432,Náapa,Alcanzar,Vt,5,1,false,not_assessed
RHD-SEMC-000077,RHD-ADJ-000169,RHD-PCORR-000124,3,internal_reciprocal_documentary_support,RHD-S1809-02079,Napá,Napá,Beysammen,362,RD-001506,Napéa,"También, con, juntos",Adv,5,1,false,not_assessed
RHD-SEMC-000078,RHD-ADJ-000232,RHD-PCORR-000125,3,internal_reciprocal_documentary_support,RHD-S1809-02079,Napá,Napá,Beysammen,362,RD-001437,‘Naca,"De lejos, de un lado",Adv,5,1,false,not_assessed
RHD-SEMC-000079,RHD-ADJ-000070,RHD-PCORR-000084,3,internal_reciprocal_documentary_support,RHD-S1809-01995,Loguí,Loguí,Rasen,360,RD-001213,Lohuí,"Tener rabia, estar loco (que anda corriendo)",Vi,4,1,false,not_assessed
RHD-SEMC-000080,RHD-ADJ-000077,RHD-PCORR-000244,3,internal_reciprocal_documentary_support,RHD-S1809-02408,Tſani,Tſani,Sagen,367,RD-002451,Tani,Rogar,Vt,4,1,false,not_assessed
RHD-SEMC-000081,RHD-ADJ-000235,RHD-PCORR-000133,3,internal_reciprocal_documentary_support,RHD-S1809-02107,Nené,Nené,Sehen,362,RD-001489,Nané,Sonar mucho,Vi,4,1,false,not_assessed
RHD-SEMC-000082,RHD-ADJ-000236,RHD-PCORR-000134,3,internal_reciprocal_documentary_support,RHD-S1809-02107,Nené,Nené,Sehen,362,RD-001583,‘Nena,Estar mirando,Vi,4,1,false,not_assessed
RHD-SEMC-000083,RHD-ADJ-000237,RHD-PCORR-000135,3,internal_reciprocal_documentary_support,RHD-S1809-02107,Nené,Nené,Sehen,362,RD-001584,‘Neni,Mirar,Vi,4,1,false,not_assessed
RHD-SEMC-000084,RHD-ADJ-000055,RHD-PCORR-000030,3,internal_reciprocal_documentary_support,RHD-S1809-01680,Batáni,Batáni,In Gegenwart,354,RD-000210,Batari,Tesgüino,S,3,1,false,not_assessed
RHD-SEMC-000085,RHD-ADJ-000087,RHD-PCORR-000066,3,internal_reciprocal_documentary_support,RHD-S1809-01802,Gané,Gané,Recht gut,357,RD-000859,Garé,"Amar, querer (véase 2caré)",Vt,3,1,false,not_assessed
RHD-SEMC-000086,RHD-ADJ-000089,RHD-PCORR-000071,3,internal_reciprocal_documentary_support,RHD-S1809-01903,Huli,Huli,"Ein anderer, anderes",358,RD-000991,Huíi,"Lanzar, amarrar (un animal)",Vt,3,1,false,not_assessed
RHD-SEMC-000087,RHD-ADJ-000093,RHD-PCORR-000146,3,internal_reciprocal_documentary_support,RHD-S1809-02129,Nulá,Nulá,Befehlen,363,RD-001688,Nurá,"Mandar, ordenar",Vi,3,1,false,not_assessed
RHD-SEMC-000088,RHD-ADJ-000160,RHD-PCORR-000078,3,internal_reciprocal_documentary_support,RHD-S1809-01939,Jumá,Jumá,"oder Jomá, Alles",359,RD-001184,Jumsa,Huir,Vi pl,3,1,false,not_assessed
RHD-SEMC-000089,RHD-ADJ-000161,RHD-PCORR-000079,3,internal_reciprocal_documentary_support,RHD-S1809-01939,Jumá,Jumá,"oder Jomá, Alles",359,RD-001185,Jumta,Echar a correr,Vt,3,1,false,not_assessed
RHD-SEMC-000090,RHD-ADJ-000194,RHD-PCORR-000040,3,internal_reciprocal_documentary_support,RHD-S1809-01697,Bulá,Bulá,Binden,355,RD-000338,Buná,1. Agacharse 2. Inclinarse,Vi,3,1,false,not_assessed
RHD-SEMC-000091,RHD-ADJ-000195,RHD-PCORR-000041,3,internal_reciprocal_documentary_support,RHD-S1809-01697,Bulá,Bulá,Binden,355,RD-000341,Burá,Hacer camino,Vt,3,1,false,not_assessed
RHD-SEMC-000092,RHD-ADJ-000196,RHD-PCORR-000042,3,internal_reciprocal_documentary_support,RHD-S1809-01697,Bulá,Bulá,Binden,355,RD-000349,Busá,Despertarse,Vi,3,1,false,not_assessed
RHD-SEMC-000093,RHD-ADJ-000207,RHD-PCORR-000080,3,internal_reciprocal_documentary_support,RHD-S1809-01939,Jumá,Jumá,"oder Jomá, Alles",359,RD-001152,Jima,Subir,Vi pl,3,1,false,not_assessed
RHD-SEMC-000094,RHD-ADJ-000274,RHD-PCORR-000213,3,internal_reciprocal_documentary_support,RHD-S1809-02321,Talá,Talá,Fuß,366,RD-002435,Tabá,Ponerse la zapeta (taparrabo que se lleva en lugar de pantalón),Vi,3,1,false,not_assessed
RHD-SEMC-000095,RHD-ADJ-000275,RHD-PCORR-000214,3,internal_reciprocal_documentary_support,RHD-S1809-02321,Talá,Talá,Fuß,366,RD-002436,Taba,Luchar,Vi,3,1,false,not_assessed
RHD-SEMC-000096,RHD-ADJ-000276,RHD-PCORR-000215,3,internal_reciprocal_documentary_support,RHD-S1809-02321,Talá,Talá,Fuß,366,RD-002443,Taca,Tocar (instrumento musical),Vt,3,1,false,not_assessed
RHD-SEMC-000097,RHD-ADJ-000286,RHD-PCORR-000228,3,internal_reciprocal_documentary_support,RHD-S1809-02333,Taní,Taní,Begehren,366,RD-002444,Tamí,"Me, a mi",Pron,3,1,false,not_assessed
RHD-SEMC-000098,RHD-ADJ-000287,RHD-PCORR-000229,3,internal_reciprocal_documentary_support,RHD-S1809-02333,Taní,Taní,Begehren,366,RD-002448,Tana,Pedir,Vt,3,1,false,not_assessed
RHD-SEMC-000099,RHD-ADJ-000288,RHD-PCORR-000230,3,internal_reciprocal_documentary_support,RHD-S1809-02333,Taní,Taní,Begehren,366,RD-002456,Tarí,Semilla (para sembrar),S,3,1,false,not_assessed
RHD-SEMC-000100,RHD-ADJ-000091,RHD-PCORR-000083,3,internal_reciprocal_documentary_support,RHD-S1809-01989,Lála,Lála,So ziemlich,360,RD-001191,Labá,"Hueja redonda (reg.), jícara",S,2,1,false,not_assessed
RHD-SEMC-000101,RHD-ADJ-000096,RHD-PCORR-000191,3,internal_reciprocal_documentary_support,RHD-S1809-02278,Sevá,Sevá,Gelangen,365,RD-002263,Seba,"1. Alcanzar, llegar 2. Lograr 3. Llegar a ser",Vt,2,1,false,not_assessed
RHD-SEMC-000102,RHD-ADJ-000098,RHD-PCORR-000237,3,internal_reciprocal_documentary_support,RHD-S1809-02366,Tocó,Tocó,Begraben,367,RD-002480,"Tigó, ticó","Cercar, hacer (con piedra)",Vt,2,1,false,not_assessed
RHD-SEMC-000103,RHD-ADJ-000133,RHD-PCORR-000130,3,internal_reciprocal_documentary_support,RHD-S1809-02092,Nateguí,Nateguí,Lohn,362,RD-001563,"Natiguí, nateguí","Valer, costar",Vi,2,1,false,not_assessed
RHD-SEMC-000104,RHD-ADJ-000142,RHD-PCORR-000208,3,internal_reciprocal_documentary_support,RHD-S1809-02306,Sulí,Sulí,Verbieten,366,RD-002416,Suní,"Terminar, acabar, cumplir",Vt,2,1,false,not_assessed
RHD-SEMC-000105,RHD-ADJ-000143,RHD-PCORR-000209,3,internal_reciprocal_documentary_support,RHD-S1809-02306,Sulí,Sulí,Verbieten,366,RD-002425,Surí,1. No querer convidar 2. No querer dejarle ir,Vi,2,1,false,not_assessed
RHD-SEMC-000106,RHD-ADJ-000156,RHD-PCORR-000058,3,internal_reciprocal_documentary_support,RHD-S1809-01756,Cuná,Cuná,Ehemann,356,RD-000807,Chuná,Higuera,S,2,1,false,not_assessed
RHD-SEMC-000107,RHD-ADJ-000173,RHD-PCORR-000156,3,internal_reciprocal_documentary_support,RHD-S1809-02217,Rachá,Rachá,"Es iſt heiß, es brennt",364,RD-001899,Racá,Semilla,S,2,1,false,not_assessed
RHD-SEMC-000108,RHD-ADJ-000174,RHD-PCORR-000157,3,internal_reciprocal_documentary_support,RHD-S1809-02217,Rachá,Rachá,"Es iſt heiß, es brennt",364,RD-001904,Rachí,Aplastarse,Vi,2,1,false,not_assessed
RHD-SEMC-000109,RHD-ADJ-000175,RHD-PCORR-000158,3,internal_reciprocal_documentary_support,RHD-S1809-02217,Rachá,Rachá,"Es iſt heiß, es brennt",364,RD-002120,Rochá,Lagartija negra,S,2,1,false,not_assessed
RHD-SEMC-000110,RHD-ADJ-000188,RHD-PCORR-000023,3,internal_reciprocal_documentary_support,RHD-S1809-01665,Bajé,Bajé,Rufen,354,RD-000158,Bají,"Tomar, beber (tesgüino, agua)",Vi,2,1,false,not_assessed
RHD-SEMC-000111,RHD-ADJ-000189,RHD-PCORR-000024,3,internal_reciprocal_documentary_support,RHD-S1809-01665,Bajé,Bajé,Rufen,354,RD-000177,Bané,Tener mejillas.,Vi,2,1,false,not_assessed
RHD-SEMC-000112,RHD-ADJ-000190,RHD-PCORR-000025,3,internal_reciprocal_documentary_support,RHD-S1809-01665,Bajé,Bajé,Rufen,354,RD-000192,Baré,Cura,S,2,1,false,not_assessed
RHD-SEMC-000113,RHD-ADJ-000197,RHD-PCORR-000043,3,internal_reciprocal_documentary_support,RHD-S1809-01700,Búra,Búra,Hirſch,355,RD-000187,Bará,El tiempo de lluvias,S,2,1,false,not_assessed
RHD-SEMC-000114,RHD-ADJ-000198,RHD-PCORR-000044,3,internal_reciprocal_documentary_support,RHD-S1809-01700,Búra,Búra,Hirſch,355,RD-000338,Buná,1. Agacharse 2. Inclinarse,Vi,2,1,false,not_assessed
RHD-SEMC-000115,RHD-ADJ-000199,RHD-PCORR-000045,3,internal_reciprocal_documentary_support,RHD-S1809-01700,Búra,Búra,Hirſch,355,RD-000342,Buré,Amarrar,Vi,2,1,false,not_assessed
