alignment_id,member_id,recovery_id,record_id,article_headword,surface_form,printed_page,same_major_left,same_minor_left,previous_major_clause,left_window,right_window,ai_reviewed,ai_local_label,human_reviewed
RHD-AMEKE-LCTX-0037,RHD-AMEKE-00081,RHD-RREC-000006,RHD-S1809-00662,Hart,Peguämeke,323,Hart,Hart,,Hart,"Peguämeke. Es iſt hart, Pegua. Das iſt ſehr hart: iché igue peguämeke uccu. Von pegua haben die Tepe",False,,False
RHD-AMEKE-LCTX-0038,RHD-AMEKE-00111,RHD-RREC-000033,RHD-S1809-00669,Heide,Tà pagotúgameke,323,Heide,Heide,,Heide,Tà pagotúgameke. d. i. ungetauft,False,,False
RHD-AMEKE-LCTX-0039,RHD-AMEKE-00070,RHD-RREC-000223,RHD-S1809-00673,Heilend,Ogájameke,324,,,"Heilend, heilsam, Ogudé","Heilend, heilsam, Ogudé",Ogájameke,False,,False
RHD-AMEKE-LCTX-0040,RHD-AMEKE-00008,RHD-RREC-000035,RHD-S1809-00674,Heiß,Baſſujameke,324,Heiß,Heiß,,Heiß,"Baſſujameke, oder igué rachtágameke. Es iſt heiß, Racha",False,,False
RHD-AMEKE-LCTX-0041,RHD-AMEKE-00019,RHD-RREC-000084,RHD-S1809-00736,Hölzern,Cusigameke,325,Hölzern,Hölzern,,Hölzern,Cusigameke,False,,False
RHD-AMEKE-LCTX-0042,RHD-AMEKE-00072,RHD-RREC-000276,RHD-S1809-00741,Hülfsmittel,Oguésameke,325,"Hülfsmittel, Arzeney",Arzeney,,"Hülfsmittel, Arzeney",Oguésameke,False,,False
RHD-AMEKE-LCTX-0043,RHD-AMEKE-00126,RHD-RREC-000043,RHD-S1809-00770,Kalt,Thulämeke,326,Kalt,Kalt,,Kalt,"Thulämeke. Es iſt kalt, Thulagua. Mir iſt kalt, Thuläne",False,,False
RHD-AMEKE-LCTX-0044,RHD-AMEKE-00054,RHD-RREC-000048,RHD-S1809-00799,Klug,Matſchigameke,326,Klug,Klug,,Klug,Matſchigameke,False,,False
RHD-AMEKE-LCTX-0045,RHD-AMEKE-00023,RHD-RREC-000266,RHD-S1809-00805,Kochen,gabaſſirúgameke,326,Ausgekocht,Ausgekocht,"Dieſe Zuſammenſetzung geſchieht, wenn zu dem, was geſchehen iſt, eine wirkende Beyhülfe von nöthen war","leidenden- dieſes der wirkenden Bedeutung. Dieſe Zuſammenſetzung geſchieht, wenn zu dem, was geſchehen iſt, eine wirkende Beyhülfe von nöthen war. Ausgekocht",gabaſſirúgameke,False,,False
RHD-AMEKE-LCTX-0046,RHD-AMEKE-00013,RHD-RREC-000016,RHD-S1809-00826,Krank,Cocojameke,327,Krank,Krank,,Krank,Cocojameke. Najujameke,False,,False
RHD-AMEKE-LCTX-0047,RHD-AMEKE-00138,RHD-RREC-000105,RHD-S1809-00833,Kriechen,tſchucúameke,327,Kriechend,Kriechend,"Kriechen, Tſchucúcu","Kriechen, Tſchucúcu. Kriechend",tſchucúameke,False,,False
RHD-AMEKE-LCTX-0048,RHD-AMEKE-00137,RHD-RREC-000029,RHD-S1809-00840,Kugelförmig,Tſchitulámeke,328,,,cavorámeke,"Kugelförmig, Cavolámeke, od. cavorámeke",Tſchitulámeke,False,,False
RHD-AMEKE-LCTX-0049,RHD-AMEKE-00055,RHD-RREC-000262,RHD-S1809-00866,Lehrling,Matſchirujegámeke,329,Lehrling,Lehrling,,Lehrling,Matſchirujegámeke,False,,False
RHD-AMEKE-LCTX-0050,RHD-AMEKE-00089,RHD-RREC-000004,RHD-S1809-00879,Leuchten,Repágameke,330,Leuchtend,Leuchtend,Rachelé,"Leuchten, Raché. Rachelé. Leuchtend",repágameke,False,,False
RHD-AMEKE-LCTX-0051,RHD-AMEKE-00089,RHD-RREC-000004,RHD-S1809-00879,Leuchten,repágameke,330,Leuchtend,Leuchtend,Rachelé,"Leuchten, Raché. Rachelé. Leuchtend",repágameke,False,,False
RHD-AMEKE-LCTX-0052,RHD-AMEKE-00089,RHD-RREC-000004,RHD-S1809-00880,Leuchtend,Repágameke,330,Leuchtend,Leuchtend,,Leuchtend,repágameke,False,,False
RHD-AMEKE-LCTX-0053,RHD-AMEKE-00089,RHD-RREC-000004,RHD-S1809-00880,Leuchtend,repágameke,330,Leuchtend,Leuchtend,,Leuchtend,repágameke,False,,False
RHD-AMEKE-LCTX-0054,RHD-AMEKE-00041,RHD-RREC-000028,RHD-S1809-00895,Machen,Jolárugameke,330,Gemacht,Gemacht,"Machen, Jolá","Machen, Jolá. Gemacht","Jolárugameke. Machen, der etwas macht, jolágemeke. Es iſt ſchon gemacht, Jolárupa",False,,False
RHD-AMEKE-LCTX-0055,RHD-AMEKE-00112,RHD-RREC-000258,RHD-S1809-00902,Mager,Tá ſapéameke,331,,,Mager,Mager,"Tá ſapéameke, d. i. nicht fleiſchig",False,,False
RHD-AMEKE-LCTX-0056,RHD-AMEKE-00090,RHD-RREC-000295,RHD-S1809-00985,Oberer,Repágatigameke,334,Oberer,Oberer,,Oberer,"Repágatigameke, durch dieſes Wort wird auch Gott bedeutet, ſ. Gott",False,,False
RHD-AMEKE-LCTX-0057,RHD-AMEKE-00050,RHD-RREC-000002,RHD-S1809-01021,Raſen,Loguiameke,336,Raſend,Raſend,"Raſen, Logui","Raſen, Logui. Raſend",Loguiameke,False,,False
RHD-AMEKE-LCTX-0058,RHD-AMEKE-00127,RHD-RREC-000206,RHD-S1809-01047,Roth,Tleſtatäcameke,338,,,Roth,Roth,"Tleſtatäcameke, oder ſtacameke. Es iſt roth. Tleſtána",False,,False
RHD-AMEKE-LCTX-0059,RHD-AMEKE-00057,RHD-RREC-000023,RHD-S1809-01045,Roſt,Mujájameke,338,,,"Mujála, iſt ein Hauptwort, aber nicht im Gebrauche, ſondern man ſagt Roſtig","Roſt. Mujála, iſt ein Hauptwort, aber nicht im Gebrauche, ſondern man ſagt Roſtig",Mujájameke,False,,False
RHD-AMEKE-LCTX-0060,RHD-AMEKE-00057,RHD-RREC-000023,RHD-S1809-01046,Roſtig,Mujájameke,338,,,Roſtig,Roſtig,Mujájameke,False,,False
RHD-AMEKE-LCTX-0061,RHD-AMEKE-00137,RHD-RREC-000029,RHD-S1809-01055,Rund,tſchitúlameke,338,"Cavólameke, cavórameke, wie ein Kreis",wie ein Kreis,"Rund, wie eine Kugel","Rund, wie eine Kugel. Cavólameke, cavórameke, wie ein Kreis",tſchitúlameke,False,,False
RHD-AMEKE-LCTX-0062,RHD-AMEKE-00141,RHD-RREC-000186,RHD-S1809-01066,Salben,Tſchutſcheliameke,338,Geſalbt,Geſalbt,Tſchutſchá,Salben. Tſchutſchá. Geſalbt,Tſchutſcheliameke,False,,False
RHD-AMEKE-LCTX-0063,RHD-AMEKE-00093,RHD-RREC-000191,RHD-S1809-01074,Sandig,Saaéameke,338,Sandig,Sandig,,Sandig,Saaéameke,False,,False
RHD-AMEKE-LCTX-0064,RHD-AMEKE-00105,RHD-RREC-000175,RHD-S1809-01076,Satan,Sriameke,338,,,Satan,Satan,Sriameke,False,,False
RHD-AMEKE-LCTX-0065,RHD-AMEKE-00077,RHD-RREC-000031,RHD-S1809-01080,Saufer,Pahíameke,338,Saufer,Saufer,,Saufer,Pahíameke,False,,False
RHD-AMEKE-LCTX-0066,RHD-AMEKE-00085,RHD-RREC-000115,RHD-S1809-01086,Schafhirt,Pouguá naſſéameke,338,,,Schafhirt,Schafhirt,Pouguá naſſéameke,False,,False
RHD-AMEKE-LCTX-0067,RHD-AMEKE-00140,RHD-RREC-000108,RHD-S1809-01092,Scharf,Tſchutárugameke,338,,,Scharf,Scharf,Tſchutárugameke,False,,False
RHD-AMEKE-LCTX-0068,RHD-AMEKE-00026,RHD-RREC-000254,RHD-S1809-01103,Scherben,Gaſſirúgameke,338,,,Caſſiníki,"Scherben, zerbrochenes Geſchirr. Caſſiníki",Gaſſirúgameke,False,,False
RHD-AMEKE-LCTX-0069,RHD-AMEKE-00125,RHD-RREC-000240,RHD-S1809-01157,Schwermüthig,Teſſiguájameke,340,,,Schwermüthig,Schwermüthig,Teſſiguájameke. Teſſi uáti,False,,False
RHD-AMEKE-LCTX-0070,RHD-AMEKE-00053,RHD-RREC-000316,RHD-S1809-01147,Schüler,Matichirujégameke,340,,,Schüler,Schüler,Matichirujégameke,False,,False
RHD-AMEKE-LCTX-0071,RHD-AMEKE-00007,RHD-RREC-000112,RHD-S1809-01199,Sieden,baſſirújameke,341,Geſotten,Geſotten,"Siedend, baſſújameke","Sieden, Baſſú. Siedend, baſſújameke. Geſotten","baſſirújameke. Es ſiedet, baſſúba",False,,False
RHD-AMEKE-LCTX-0072,RHD-AMEKE-00008,RHD-RREC-000035,RHD-S1809-01199,Sieden,baſſújameke,341,Siedend,Siedend,"Sieden, Baſſú","Sieden, Baſſú. Siedend","baſſújameke. Geſotten, baſſirújameke. Es ſiedet, baſſúba",False,,False
RHD-AMEKE-LCTX-0073,RHD-AMEKE-00013,RHD-RREC-000016,RHD-S1809-01198,Sieh,Cocojámeke,341,Sieh,Sieh,,Sieh,Cocojámeke,False,,False
RHD-AMEKE-LCTX-0074,RHD-AMEKE-00065,RHD-RREC-000037,RHD-S1809-01216,Sorglos,Nalſiameke,342,Sorglos,Sorglos,,Sorglos,Nalſiameke,False,,False
RHD-AMEKE-LCTX-0075,RHD-AMEKE-00121,RHD-RREC-000308,RHD-S1809-01267,Stein,telé ulíameke,344,Steinerne Säule,Steinerne Säule,"Stein, Teéke, techéke","Stein, Teéke, techéke. Steinerne Säule","telé ulíameke, Zerſtoßener Stein, tecubírameke. Von den Steinen und Felſen des großen tarahumariſche",False,,False
RHD-AMEKE-LCTX-0076,RHD-AMEKE-00110,RHD-RREC-000261,RHD-S1809-01277,Sterblich,tá mukílatiameke,344,,,B,"ins tá, nicht, nein, welches, weil die tarahumariſche Sprache keine zuſammengeſetzte Wörter (compoſita) hat, mit unſerm deutſchen Un gleichbedeutend iſt, z. B","tá mukílatiameke, unvergänglich, immerdauernd",False,,False
RHD-AMEKE-LCTX-0077,RHD-AMEKE-00134,RHD-RREC-000082,RHD-S1809-01281,Stinken,Tſchipúgameke,344,Stinkend,Stinkend,"Stinken, Tſchipú","Stinken, Tſchipú. Stinkend",Tſchipúgameke,False,,False
RHD-AMEKE-LCTX-0078,RHD-AMEKE-00040,RHD-RREC-000076,RHD-S1809-01330,Thun,jolájameke,346,Thuend,Thuend,Jolá,Thun. Jolá. Thuend,"jolájameke. Gethan, jolarúgameke. Es iſt gethan, jolárupa",False,,False
RHD-AMEKE-LCTX-0079,RHD-AMEKE-00041,RHD-RREC-000028,RHD-S1809-01330,Thun,jolarúgameke,346,Gethan,Gethan,"Thuend, jolájameke","Thun. Jolá. Thuend, jolájameke. Gethan","jolarúgameke. Es iſt gethan, jolárupa",False,,False
RHD-AMEKE-LCTX-0080,RHD-AMEKE-00101,RHD-RREC-000010,RHD-S1809-01335,Todtſeyn,Schuguiameke,346,"Todtſeyn, Mukúameke",Mukúameke,,"Todtſeyn, Mukúameke",ſchuguiameke,False,,False
RHD-AMEKE-LCTX-0081,RHD-AMEKE-00101,RHD-RREC-000010,RHD-S1809-01335,Todtſeyn,ſchuguiameke,346,"Todtſeyn, Mukúameke",Mukúameke,,"Todtſeyn, Mukúameke",ſchuguiameke,False,,False
RHD-AMEKE-LCTX-0082,RHD-AMEKE-00065,RHD-RREC-000037,RHD-S1809-01340,Trag,Nalſiameke,346,,,Trag,Trag,Nalſiameke,False,,False
RHD-AMEKE-LCTX-0083,RHD-AMEKE-00077,RHD-RREC-000031,RHD-S1809-01347,Trinker,Pahiameke,346,Trinker,Trinker,,Trinker,Pahiameke,False,,False
RHD-AMEKE-LCTX-0084,RHD-AMEKE-00039,RHD-RREC-000245,RHD-S1809-01321,Tänzer,Jauguirameke,346,Tänzer,Tänzer,,Tänzer,Jauguirameke,False,,False
RHD-AMEKE-LCTX-0085,RHD-AMEKE-00118,RHD-RREC-000065,RHD-S1809-01374,Unbeweibt,Taſló upéameke,347,Unbeweibt,Unbeweibt,,Unbeweibt,Taſló upéameke,False,,False
RHD-AMEKE-LCTX-0086,RHD-AMEKE-00113,RHD-RREC-000256,RHD-S1809-01375,Unendlich,Tá ſchuguiameke,347,Unendlich,Unendlich,,Unendlich,Tá ſchuguiameke,False,,False
RHD-AMEKE-LCTX-0087,RHD-AMEKE-00108,RHD-RREC-000269,RHD-S1809-01376,Unerſchrocken,Tá mahajámeke,347,Unerſchrocken,Unerſchrocken,,Unerſchrocken,Tá mahajámeke,False,,False
RHD-AMEKE-LCTX-0088,RHD-AMEKE-00111,RHD-RREC-000033,RHD-S1809-01381,Ungewaſchen,Tá pagótugameke,347,Ungewaſchen,Ungewaſchen,,Ungewaſchen,Tá pagótugameke,False,,False
RHD-AMEKE-LCTX-0089,RHD-AMEKE-00109,RHD-RREC-000061,RHD-S1809-01384,Unkundig,Tá matſchigameke,347,Unkundig,Unkundig,,Unkundig,Tá matſchigameke,False,,False
RHD-AMEKE-LCTX-0090,RHD-AMEKE-00118,RHD-RREC-000065,RHD-S1809-01396,Unverehelicht,Taſló upéameke,347,Unverehelicht,Unverehelicht,,Unverehelicht,Taſló upéameke,False,,False
RHD-AMEKE-LCTX-0091,RHD-AMEKE-00109,RHD-RREC-000061,RHD-S1809-01405,Unwiſſend,Tá matſchigameke,347,Unwiſſend,Unwiſſend,,Unwiſſend,Tá matſchigameke,False,,False
RHD-AMEKE-LCTX-0092,RHD-AMEKE-00107,RHD-RREC-000277,RHD-S1809-01407,Unzeitig,Tá baſſigameke,347,Unzeitig,Unzeitig,,Unzeitig,Tá baſſigameke,False,,False
RHD-AMEKE-LCTX-0093,RHD-AMEKE-00050,RHD-RREC-000002,RHD-S1809-01388,Unſinnig,Loguiameke,347,Unſinnig,Unſinnig,,Unſinnig,Loguiameke,False,,False
RHD-AMEKE-LCTX-0094,RHD-AMEKE-00004,RHD-RREC-000132,RHD-S1809-01408,Urbar,Baſſatiameke,347,"Urbar, das ſich pflügen läßt",das ſich pflügen läßt,,"Urbar, das ſich pflügen läßt",Baſſatiameke,False,,False
RHD-AMEKE-LCTX-0095,RHD-AMEKE-00143,RHD-RREC-000117,RHD-S1809-01420,Verbrecher,Tſetijolámeke,347,Verbrecher,Verbrecher,,Verbrecher,Tſetijolámeke,False,,False
RHD-AMEKE-LCTX-0096,RHD-AMEKE-00058,RHD-RREC-000093,RHD-S1809-01423,Verfault,Mujámeke,347,Verfault,Verfault,,Verfault,Mujámeke,False,,False
RHD-AMEKE-LCTX-0097,RHD-AMEKE-00081,RHD-RREC-000006,RHD-S1809-01435,Verhärtet,Peguameke,347,Verhärtet,Verhärtet,,Verhärtet,Peguameke,False,,False
RHD-AMEKE-LCTX-0098,RHD-AMEKE-00101,RHD-RREC-000010,RHD-S1809-01475,Verzehren,Schuguiameke,348,Verzehrt,Verzehrt,"Verzehren, Schuguá","Verzehren, Schuguá. Verzehrt","ſchuguiameke, das heißt: es iſt ausgegangen, hat abgenommen. So pflegen ſie auch zu ſagen, wenn ſie",False,,False
RHD-AMEKE-LCTX-0099,RHD-AMEKE-00101,RHD-RREC-000010,RHD-S1809-01475,Verzehren,ſchuguiameke,348,Verzehrt,Verzehrt,"Verzehren, Schuguá","Verzehren, Schuguá. Verzehrt","ſchuguiameke, das heißt: es iſt ausgegangen, hat abgenommen. So pflegen ſie auch zu ſagen, wenn ſie",False,,False
RHD-AMEKE-LCTX-0100,RHD-AMEKE-00101,RHD-RREC-000010,RHD-S1809-01464,Verſtorben,Schuguiameke,348,,,"Verſtorben, Mukúameke","Verſtorben, Mukúameke",Schuguiameke,False,,False
RHD-AMEKE-LCTX-0101,RHD-AMEKE-00101,RHD-RREC-000010,RHD-S1809-01464,Verſtorben,ſchuguiameke,348,,,"Verſtorben, Mukúameke","Verſtorben, Mukúameke",Schuguiameke,False,,False
RHD-AMEKE-LCTX-0102,RHD-AMEKE-00054,RHD-RREC-000048,RHD-S1809-01462,Verſtändig,Matſchigameke,348,Verſtändig,Verſtändig,,Verſtändig,Matſchigameke,False,,False
RHD-AMEKE-LCTX-0103,RHD-AMEKE-00009,RHD-RREC-000264,RHD-S1809-01479,Viehiſch,Bucúameke,348,Viehiſch,Viehiſch,,Viehiſch,Bucúameke,False,,False
RHD-AMEKE-LCTX-0104,RHD-AMEKE-00050,RHD-RREC-000002,RHD-S1809-01511,Wahnſinnig,Loguiameke,349,,,Wahnſinnig,Wahnſinnig,Loguiameke,False,,False
RHD-AMEKE-LCTX-0105,RHD-AMEKE-00031,RHD-RREC-000232,RHD-S1809-01541,Waizen,holirúgameke,350,Nach abgelöſten Körnern,Nach abgelöſten Körnern,"Die Frucht noch am Stamme, patſchiki","Waizen, türkiſcher, Schunúcu, oder ſunúcu. Die Frucht noch am Stamme, patſchiki. Nach abgelöſten Körnern","holirúgameke. Noch nicht abgekörnt, honéameke. Geröſtet und zu Mehl gemacht, cuviruſi. Gemahlen und",False,,False
RHD-AMEKE-LCTX-0106,RHD-AMEKE-00032,RHD-RREC-000193,RHD-S1809-01541,Waizen,honéameke,350,Noch nicht abgekörnt,Noch nicht abgekörnt,"Nach abgelöſten Körnern, holirúgameke","Waizen, türkiſcher, Schunúcu, oder ſunúcu. Die Frucht noch am Stamme, patſchiki. Nach abgelöſten Körnern, holirúgameke. Noch nicht abgekörnt","honéameke. Geröſtet und zu Mehl gemacht, cuviruſi. Gemahlen und nicht geröſtet, lakiki. Gekocht, wie",False,,False
RHD-AMEKE-LCTX-0107,RHD-AMEKE-00087,RHD-RREC-000072,RHD-S1809-01520,Warten,pugueameke,350,Wartend,Wartend,Pugué,"Warten, Uili. Pugué. Wartend",pugueameke,False,,False
RHD-AMEKE-LCTX-0108,RHD-AMEKE-00091,RHD-RREC-000160,RHD-S1809-01538,Weiß,Rolácameke,350,Weiß,Weiß,,Weiß,"Rolácameke, toſácameke",False,,False
RHD-AMEKE-LCTX-0109,RHD-AMEKE-00086,RHD-RREC-000225,RHD-S1809-01546,Widder,Pouguáca jumarúgameke,350,Widder,Widder,,Widder,Pouguáca jumarúgameke,False,,False
RHD-AMEKE-LCTX-0110,RHD-AMEKE-00080,RHD-RREC-000075,RHD-S1809-01524,Wäſſerig,Pauguirugameke,350,Wäſſerig,Wäſſerig,,Wäſſerig,Pauguirugameke,False,,False
RHD-AMEKE-LCTX-0111,RHD-AMEKE-00050,RHD-RREC-000002,RHD-S1809-01577,Wüthig,Loguiameke,351,Wüthig,Wüthig,,Wüthig,Loguiameke,False,,False
RHD-AMEKE-LCTX-0112,RHD-AMEKE-00005,RHD-RREC-000130,RHD-S1809-01591,Zeitig,Baſſiameke,352,,,Zeitig,Zeitig,Baſſiameke. ſ. reif,False,,False
RHD-AMEKE-LCTX-0113,RHD-AMEKE-00144,RHD-RREC-000128,RHD-S1809-01596,Zerreiben,tutſchirúgameke,352,Zerrieben,Zerrieben,"Zerreiben, Tutſchi","Zerreiben, Tutſchi. Zerrieben",tutſchirúgameke,False,,False
RHD-AMEKE-LCTX-0114,RHD-AMEKE-00116,RHD-RREC-000123,RHD-S1809-01600,Zeugen,tanarúgameke,352,Gezeugt,Gezeugt,"Zeugen, gebähren, Taná","Zeugen, gebähren, Taná. Gezeugt",tanarúgameke,False,,False
